"ID","Cluster","MemVal","Class","SoilPlot","AnnualForb","AnnualGrass","Carex","Moss","PerennialForb","PerennialGrass","Shrub","DensiCanopyCover","TotalFoliar","bare_ground","TreeCount","MeanDBH","LargeGaps","MeanHeight"
70,"V1",0.546,"Woodland","SSN17",6.7,26.2,37.5,0,8.8,32.5,20,36,37.5,20,73,13.4452054794521,2,230.5
30,"V1",0.576,"Woodland","NLO14",5.6,0,0,0,32.5,14.5,26.2,36,25,6,89,13.0595505617978,3,246
67,"V1",0.585,"Woodland","SSN14",18.3,29,0,0,8.8,50,2.5,52,65,12,55,16.0945454545455,0,278
34,"V1",0.609,"Woodland","NLO18",2.5,18.3,26.2,0,2.5,13.4,8.8,71,30,12,32,22.296875,3,290.5
15,"V1",0.652,"Woodland","LU15",0,0,2.5,0,2.5,45.8,2.5,50,47.5,38,142,9.66197183098592,0,272.5
18,"V1",0.67,"Woodland","LU18",5.6,18.3,0,0,11.2,26.2,2.5,43,45,6,53,14.7150943396226,1,242.5
11,"V1",0.675,"Woodland","LU11",2.5,15,15,0,2.5,30,30.8,33,57.5,14,30,21.4,1,310
39,"V1",0.687,"Woodland","SS05",2.5,2.5,0,0,11.6,9.8,21.5,21,50,40,68,16.4838235294118,1,350
69,"V1",0.703,"Woodland","SSN16",0,2.5,0,0,2.5,8.8,18.3,56,25,14,93,13.4494623655914,4,298
68,"V1",0.729,"Woodland","SSN15",12.9,37.5,37.5,0,2.5,15,20,47,40,28,53,14.188679245283,1,330
29,"V1",0.781,"Woodland","NLO13",2.5,0,2.5,0,2.5,21.7,26.5,34,50,4,68,15.7191176470588,0,232.5
35,"V1",0.83,"Woodland","NLO19",2.5,0,0,0,8.8,6.7,8.8,65,13.8,8,78,13.1282051282051,3,268
65,"V1",0.848,"Woodland","SSN12",18.3,15,0,0,0,17.5,0,70,45,14,66,14.4848484848485,1,292.5
62,"V1",0.871,"Woodland","SSN09",5.6,0,30,0,15,2.5,18.3,56,30,2,58,20.2568965517241,3,310
28,"V1",0.878,"Woodland","NLO12",0,0,0,0,2.5,17,20,62,27.5,10,80,15.39,3,283.5
12,"V1",0.884,"Woodland","LU12",2.5,0,2.5,0,2.5,17.5,14.4,67,32.5,24,78,13.6564102564103,3,350
8,"V1",0.915,"Woodland","LU08",0,0,0,38.3,7.5,8.8,15.8,80,55,2,149,10.5187919463087,0,350
31,"V1",0.93,"Woodland","NLO15",0,2.5,0,0,15,10.4,14.4,51,42.5,6,50,17.202,2,302.5
72,"V1",0.95,"Woodland","SSN19",6.7,0,8.8,0,8.8,15,19,51,28.8,20,66,15.2878787878788,2,322.5
66,"V1",0.957,"Woodland","SSN13",10.8,2.5,0,0,10.8,36,10.8,57,50,4,95,14.1915789473684,3,330
54,"V1",0.961,"Woodland","SSN01",2.5,2.5,10.8,0,15,14.2,14.5,48,25,18,73,13.6931506849315,1,300
1,"V1",0.963,"Woodland","LU01",15,0,0,0,8.8,20.4,5,63,28.8,0,119,11.7487394957983,2,350
13,"V1",0.973,"Woodland","LU13",14.4,15,2.5,2.5,6.7,33.5,17.9,68,47.5,2,82,17.3658536585366,2,330
59,"V1",0.974,"Woodland","SSN06",2.5,2.5,2.5,0,20.4,32.5,26.5,63,60,8,136,11.0529411764706,1,298
73,"V1",0.974,"Woodland","SSN20",2.5,0,15,0,15,31.7,24,54,47.5,2,109,12.7201834862385,2,278
17,"V1",0.977,"Woodland","LU17",0,0,0,0,10.8,2.5,26.1,82,40,0,154,12.9175324675325,1,350
20,"V1",0.98,"Woodland","LU20",8.8,0,15,0,15,27.9,8.8,63,45,18,73,15.1506849315068,1,330
14,"V1",0.982,"Woodland","LU14",2.5,0,2.5,0,2.5,18.3,30.8,67,42.5,14,91,12.3846153846154,0,330
